pietro,izby,powierzchnia,zadrzewienie,autostrada,przemysł,centrum,jezioro,lasy,tramwaj,policja,szkola,cena,zainter
4,3,51.98,0,6775.819,101.2423,924.6892,1082.405,2594.499,186.6815,830.2409,219.1461,6925.74,FALSE
1,3,44.9,0.64,3480.104,127.4755,5789.201,577.6028,548.1788,641.4047,2598.677,841.7244,6080.18,FALSE
1,3,80.55,100,7220.5,133.4166,7615.911,261.7728,96.04687,2599.356,1059.021,1500.833,4078.21,TRUE
1,3,51,0.6,11663.45801,215.05814,5475.37207,5305.22852,317.52954,1799.34705,2525.53467,190,5294.12,FALSE
1,4,53,19.16,3408.37207,230.48862,5144.4751,957.82306,1022.41138,973.66577,2118.40747,564.35803,5358.49,FALSE
7,1,28.2,13.64,4365.25195,190.39433,5130.80176,1585.82788,789.00256,39.05125,1751.01404,113.13708,5000,TRUE
3,3,60.9,6.84,6339.647,315.0397,426.6439,1350.343,2880.226,245.204,489.949,243.0021,5687.19,FALSE
1,3,59.41,2.36,6378.229,118.5327,6070.966,161.0124,50,1294.537,2560.488,534.6027,4107.05,TRUE
4,2,30.9,11.84,3305.77148,229.8369,5074.64795,964.80566,1089.151,926.74158,2127.06958,628.35101,4530.74,TRUE
2,5,100.42,1.2,6571.539,89.44272,2269.058,1264.802,798.8273,40.31129,734.2003,261.725,3754.23,TRUE
0,3,50.92,9.64,6568.891,161.9413,1167.401,2155.284,1636.498,18.02776,205.548,428.7773,6323.64,FALSE
1,2,38.6,4.12,5081.594,100.4988,1135.275,2188.201,2444.918,53.15073,1192.749,532.5646,5051.81,FALSE
4,3,39.9,24.68,6855.00732,98.48858,3126.08789,745.151,586.6217,25,1435.5835,685.65662,4511.28,TRUE
4,3,31.72,1.2,6571.539,89.44272,2269.058,1264.802,798.8273,40.31129,734.2003,261.725,4728.88,TRUE
2,3,49.1,12.88,3956.28931,496.61353,10912.64648,3680.92725,120.83046,6443.14551,6829.21826,403.29889,4073.32,FALSE
3,3,44,1.2,6967.848,85.14693,1935.058,1379.828,864.523,465.2419,504.0089,325,7954.55,FALSE
